text,raw_data_id
"<|user|> What are the main symptoms of laryngitis? <|eos|> <|ai|> The main symptoms of laryngitis are a hoarse (croaky) voice, sometimes losing your voice, an irritating cough that does not go away, always needing to clear your throat, and a sore throat. Children can also have a temperature of 38C or above, be off their food or drink, or have difficulty breathing (but this is rare). Laryngitis is often linked to other illnesses, such as colds and flu, so you may also have other symptoms. <|eos|> <|eod|>",8
"<|user|> Can laryngitis be treated at home? <|eos|> <|ai|> Yes, laryngitis can be treated at home. Laryngitis usually goes away on its own after 1 to 2 weeks and you do not need to see a GP. To treat laryngitis at home, try to speak as little as possible, drink plenty of fluids, keep the air moist by putting out bowls of water, gargle with warm salty water (not suitable for younger children), and avoid talking loudly or whispering, smoking, spending time in smoky or dusty places, and drinking too much caffeine or alcohol as they cause dehydration. Speak to a pharmacist about your sore throat for advice and treatments, including paracetamol or ibuprofen, cough syrup to help with your cough, solutions to gargle, or lozenges for the pain. <|eos|> <|eod|>",8
"<|user|> What should I do if my laryngitis symptoms do not improve after 2 weeks? <|eos|> <|ai|> If your laryngitis symptoms do not improve after 2 weeks, you should see a GP. The GP will try to work out what has caused your laryngitis and may look inside your throat using a small mirror, wipe a cotton bud around the back of your throat for testing, arrange a blood test, or refer you to an ear, nose and throat (ENT) specialist (if you keep getting laryngitis). If your laryngitis is caused by an infection, the GP might prescribe antibiotics. <|eos|> <|eod|>",8
"<|user|> What causes laryngitis besides cold or flu infection? <|eos|> <|ai|> Laryngitis can be caused by various factors besides cold or flu infection. Other things that cause laryngitis include allergies to things like dust and fumes, acid from your stomach coming up your throat (acid reflux), coughing over a long time, and clearing your throat all the time. However, laryngitis is often linked to other illnesses, such as colds and flu, so you may also have other symptoms. <|eos|> <|eod|>",8
"<|user|> What should I do if I or my child is having difficulty breathing due to laryngitis? <|eos|> <|ai|> If you or your child is having difficulty breathing due to laryngitis, you should call 999 or go to A&E immediately. Difficulty breathing is a serious symptom that requires urgent medical attention. <|eos|> <|eod|>",8
"<|user|> What are the symptoms of multiple sclerosis? <|eos|> <|ai|> The symptoms of multiple sclerosis vary widely from person to person and can affect any part of the body. The main symptoms include fatigue, difficulty walking, vision problems, such as blurred vision, problems controlling the bladder, numbness or tingling in different parts of the body, muscle stiffness and spasms, problems with balance and co-ordination, and problems with thinking, learning and planning. Depending on the type of MS you have, your symptoms may come and go in phases or get steadily worse over time (progress). <|eos|> <|eod|>",9
"<|user|> What causes multiple sclerosis? <|eos|> <|ai|> Multiple sclerosis is an autoimmune condition. This is when something goes wrong with the immune system and it mistakenly attacks a healthy part of the body – in this case, the brain or spinal cord of the nervous system. In MS, the immune system attacks the layer that surrounds and protects the nerves called the myelin sheath. This damages and scars the sheath, and potentially the underlying nerves, meaning that messages travelling along the nerves become slowed or disrupted. Exactly what causes the immune system to act in this way is unclear, but most experts think a combination of genetic and environmental factors is involved. <|eos|> <|eod|>",9
"<|user|> What treatments are available for multiple sclerosis? <|eos|> <|ai|> There's currently no cure for multiple sclerosis, but a number of treatments can help control the condition and ease symptoms. The treatment you need will depend on the specific symptoms and difficulties you have. It may include treating relapses with short courses of steroid medicine to speed up recovery, specific treatments for individual MS symptoms, and treatment to reduce the number of relapses using medicines called disease-modifying therapies. Disease-modifying therapies may also help to slow or reduce the overall worsening of disability in people with a type of MS called relapsing remitting MS, and in some people with types called primary and secondary progressive MS, who have relapses. Unfortunately, there's currently no treatment that can slow the progress of primary progressive MS, or secondary progressive MS, where there are no relapses. Many therapies aiming to treat progressive MS are currently being researched. <|eos|> <|eod|>",9
"<|user|> What is the outlook for people with multiple sclerosis? <|eos|> <|ai|> Multiple sclerosis can be a challenging condition to live with, but new treatments over the past 20 years have considerably improved the quality of life of people with the condition. MS itself is rarely fatal, but complications may arise from severe MS, such as chest or bladder infections, or swallowing difficulties. The average life expectancy for people with MS is around 5 to 10 years lower than average, and this gap appears to be getting smaller all the time. <|eos|> <|eod|>",9
"<|user|> Where can I find support and advice for multiple sclerosis? <|eos|> <|ai|> If you or someone you know has just been diagnosed with multiple sclerosis, there are 2 main MS charities in the UK: the MS Society and the MS Trust. These organisations offer useful advice, publications, news items about ongoing research, blogs and chatrooms. There's also the shift.ms website, an online community for younger people affected by MS. The social care and support guide explains your options and where you can get support if you need help with day-to-day living because of illness or disability, or if you care for someone regularly because they're ill, elderly or disabled, including family members. <|eos|> <|eod|>",9
"<|user|> Salut, j'ai remarqué que mon bébé a des difficultés à respirer et qu'il est agité. Je m'inquiète que ce soit grave. <|eos|> <|ai|> Bonjour, je comprends que vous puissiez être préoccupé par les symptômes que vous décrivez. Puis-je vous poser quelques questions pour mieux comprendre ce qui se passe ? <|eos|> <|user|> Oui, bien sûr. <|eos|> <|ai|> Le nez de votre bébé est-il bouché ou coule-t-il ? A-t-il également de la fièvre ? <|eos|> <|user|> Oui, son nez est bouché et il a une légère fièvre. <|eos|> <|ai|> Ces symptômes peuvent être dus à une infection courante des voies respiratoires supérieures. Il s'agit souvent de symptômes du rhume. Avez-vous remarqué s'il a des difficultés à manger ou à respirer ? <|eos|> <|user|> Oui, il a des difficultés à manger et respire rapidement. <|eos|> <|ai|> Ces symptômes pourraient indiquer une affection appelée bronchiolite. Cette maladie souvent causée par le virus respiratoire syncytial (RSV) est très fréquente chez les enfants de moins de 2 ans. La bonne nouvelle est que la plupart des enfants atteints de bronchiolite guérissent avec le temps. Mais dans certains cas, cela peut être grave. <|eos|> <|user|> Que dois-je faire si les symptômes empirent ? <|eos|> <|ai|> Si votre bébé a des difficultés à respirer, si sa peau, sa langue ou ses lèvres deviennent bleues, s'il est somnolent ou agité, ou si sa respiration s'arrête pendant de longues périodes, vous devez appeler immédiatement les urgences ou vous rendre à une clinique d'urgences. Si vous avez des inquiétudes moins urgentes, demandez un rendez-vous chez votre médecin de famille ou appelez le 111 pour obtenir des conseils sur la marche à suivre. <|eos|> <|user|> Y a-t-il un traitement pour la bronchiolite? <|eos|> <|ai|> Il n'y a pas de traitement spécifique pour la bronchiolite, mais vous pouvez aider votre bébé à la maison en donnant du paracétamol ou de l'ibuprofène, soit le peu de fluides pour éviter la déshydratation. Évitez de fumer près de votre enfant et ne tentez pas de baisser sa température par des moyens comme l'essuyage avec de l'eau froide. <|eos|> <|user|> Comment puis-je empêcher la bronchiolite de se propager à d'autres membres de la famille? <|eos|> <|ai|> Pour aider à prévenir la propagation de la bronchiolite, lavez-vous les mains régulièrement et les jouets de bébé après utilisation. Selon l'âge de votre bébé, il peut être judicieux de les garder à l'écart des personnes atteintes d'un rhume et de la grippe et d'éviter le contact avec les nourrissons amenant une infection. <|eos|> <|eod|>",11
"<|user|> Hi, I have been coughing for a while now, could it be bronchitis? <|eos|> <|ai|> Bonjour! La bronchite est une inflammation des voies respiratoires causée généralement par une infection. Avez-vous d'autres symptômes tels que des douleurs thoraciques en toussant, une respiration courte, ou encore un mal de gorge ? <|eos|> <|user|> Oui, j'ai aussi mal à la poitrine quand je tousse et j'ai du mal à respirer. <|eos|> <|ai|> Je vous suggère de consulter votre médecin généraliste si vous toussez depuis plus de trois semaines. Il vous sera probablement demandé d'uriner dans un gobelet pour des tests. En attendant, il est important de vous reposer, de boire beaucoup de liquides, et de vous couvrir la bouche lorsque vous toussez ou éternuez. <|eos|> <|user|> Est-ce que je peux prendre des médicaments pour soulager mes symptômes? <|eos|> <|ai|> Oui, vous pouvez prendre un antitussif ou un expectorant pour soulager votre toux. Vous pouvez également prendre du paracétamol ou de l'ibuprofène pour soulager les douleurs et abaisser la fièvre. Il est important de noter qu'un traitement antibiotique n'est généralement pas nécessaire, sauf si votre médecin détermine que votre bronchite est causée par une infection bactérienne. <|eos|> <|user|> Devrait-on s'inquiéter si la toux persiste plus d'un mois? <|eos|> <|ai|> Oui, si vous toussez depuis plus de trois semaines, je vous recommande de prendre rendez-vous avec votre médecin généraliste pour un examen et pour écarter d'autres complications. Si vous toussez du sang ou si la douleur thoracique est constante, je vous recommande de contacter immédiatement un médecin ou de vous rendre aux urgences. <|eos|> <|eod|>",12
"<|user|> Bonjour, j'aimerais parler de l'utilisation de stéroïdes pour traiter différentes maladies. <|eos|> <|ai|> Bonjour, je suis à votre disposition. En quoi puis-je vous aider ? <|eos|> <|user|> J'ai entendu que les stéroïdes pouvaient être utilisés pour l'asthme, est-ce vrai ? <|eos|> <|ai|> Oui, c'est exact. Les stéroïdes peuvent être utilisés pour traiter l'asthme et les maladies pulmonaires obstructives chroniques (MPOC). <|eos|> <|user|> Quels sont les différents types de stéroïdes qui existent ? <|eos|> <|ai|> Il existe plusieurs types de stéroïdes tels que les comprimés, les inhalateurs, les sprays nasaux, les injections et les crèmes. <|eos|> <|user|> Est-ce que les stéroïdes ont des effets secondaires ? <|eos|> <|ai|> Oui, les stéroïdes peuvent causer des effets secondaires tels qu'une augmentation de l'appétit, des changements d'humeur et des difficultés à dormir. Cependant, cela dépend de la dose et de la durée du traitement. <|eos|> <|user|> Les stéroïdes sont-ils disponibles sans ordonnance ? <|eos|> <|ai|> La plupart des stéroïdes ne sont disponibles que sur ordonnance, mais certains comme certaines crèmes ou sprays nasaux peuvent être achetés en pharmacie sans ordonnance. <|eos|> <|user|> Comment fonctionnent les stéroïdes ? <|eos|> <|ai|> Les stéroïdes sont une version artificielle d'hormones produites normalement par les glandes surrénales. Lorsqu'ils sont pris à des doses supérieures à la quantité que votre corps produit normalement, ils réduisent l'inflammation et l'activité du système immunitaire. <|eos|> <|user|> Les stéroïdes peuvent-ils traiter l'eczéma ? <|eos|> <|ai|> Oui, les stéroïdes peuvent être utilisés pour traiter l'eczéma et les allergies cutanées telles que l'urticaire. Cependant, il est important de suivre les instructions de votre médecin pour éviter les effets secondaires. <|eos|> <|eod|>",13
"<|user|> Qu'est-ce que la maladie de Creutzfeldt-Jakob (MCJ) et quels sont ses symptômes ? <|eos|> <|ai|> La maladie de Creutzfeldt-Jakob est une maladie rare et fatale qui affecte le cerveau et qui cause des dommages qui empirent rapidement dans le temps. Les symptômes de la MCJ comprennent : la perte d'intelligence et de mémoire, les changements de personnalité, la perte d'équilibre et de coordination, la difficulté à parler, les problèmes de vision et la cécité, les mouvements de secousse anormaux et la perte progressive de la fonction cérébrale et de la mobilité. La plupart des personnes atteintes de la MCJ décèdent dans l'année qui suit le début des symptômes, généralement d'une infection car l'immobilité causée par la MCJ les rend vulnérables aux infections. <|eos|> <|eod|>",14
"<|user|> Quelles sont les causes de la MCJ ? <|eos|> <|ai|> La MCJ semble être causée par une protéine infectieuse anormale appelée prion. Ces prions s'accumulent à des niveaux élevés dans le cerveau et provoquent des dommages irréversibles aux cellules nerveuses. Bien que les prions anormaux soient techniquement infectieux, ils sont très différents des virus et des bactéries. Les prions ne sont pas détruits par les extrêmes de chaleur et de radiation utilisés pour tuer les bactéries et les virus, et les antibiotiques ou les médicaments antiviraux n'ont aucun effet sur eux. <|eos|> <|eod|>",14
"<|user|> Quels sont les types de MCJ ? <|eos|> <|ai|> Il existe 4 types principaux de MCJ. La MCJ sporadique est la plus courante et la cause précise de cette maladie est inconnue. Il a été suggéré que certaines personnes ont une protéine cérébrale normale qui change de manière anormale (""mal se plie"") et se transforme en prion. La MCJ sporadique touche principalement les adultes âgés entre 45 et 75 ans et est très rare, ne touchant qu'une ou deux personnes sur un million chaque année au Royaume-Uni. La MCJ variante peut être causée par la consommation de viande bovine infectée par l'encéphalopathie spongiforme bovine, également connu comme la ""vache folle"". La MCJ familiale est une maladie génétique rare qui est causée par une mutation dans le gène de la protéine prion que l'on hérite d'un parent. La MCJ iatrogène est causée par la transmission involontaire de la maladie de Creutzfeldt-Jakob lors de traitements médicaux ou chirurgicaux. <|eos|> <|eod|>",14
"<|user|> Comment est traitée la MCJ ? <|eos|> <|ai|> Il n'y a actuellement aucun remède pour la maladie de Creutzfeldt-Jakob, le traitement vise donc à soulager les symptômes et à rendre la personne affectée aussi confortable que possible. Cela peut inclure l'utilisation de médicaments tels que des antidépresseurs pour aider à l'anxiété et à la dépression, et des analgésiques pour soulager la douleur. Certaines personnes auront besoin de soins infirmiers et d'une aide pour se nourrir. Il est important de noter que le traitement ne guérira pas la maladie, mais peut aider à atténuer les symptômes. <|eos|> <|eod|>",14
"<|user|> Existe-t-il un moyen de prévenir la MCJ ? <|eos|> <|ai|> Il n'y a pas de moyen sûr de prévenir la maladie de Creutzfeldt-Jakob. Cependant, il est possible de réduire le risque de contracter la maladie en suivant les mesures suivantes: en évitant de manger de la viande contaminée par l'encéphalopathie spongiforme bovine, en observant les pratiques de santé et de sécurité lorsqu'on travaille avec des tissus animaux ou humains dans un environnement médical ou de laboratoire, et en choisissant des sources de transplantations de tissus et d'organes sûres et bien réglementées. En outre, les dons de sang sont strictement réglementés au Royaume-Uni pour limiter le risque de transmission de la maladie de Creutzfeld-Jakob. <|eos|> <|eod|>",14
"<|user|> Qu'est-ce que l'eczéma atopique ? <|eos|> <|ai|> L'eczéma atopique (dermatite atopique) est la forme la plus courante d'eczéma, une affection qui provoque des démangeaisons, de la sécheresse et des fissures de la peau. Il est plus fréquent chez les enfants, mais peut également se développer chez les adultes. <|eos|> <|eod|>",15
"<|user|> Quels sont les symptômes de l'eczéma atopique ? <|eos|> <|ai|> L'eczéma atopique provoque des démangeaisons, de la sécheresse, des fissures et des douleurs cutanées. Certaines personnes n'ont que de petites zones de peau sèche, mais d'autres peuvent avoir une peau enflammée généralisée sur tout le corps. La peau enflammée peut devenir rouge sur les peaux plus claires, et marron foncé, violet ou gris sur les peaux plus foncées. <|eos|> <|eod|>",15
"<|user|> Comment l'eczéma atopique est-il diagnostiqué ? <|eos|> <|ai|> Pour être diagnostiqué avec une dermatite atopique, il faut avoir eu une affection cutanée qui démange au cours des 12 derniers mois et au moins 3 des éléments suivants : une irritation cutanée rouge visible dans les plis de la peau (par exemple à l'intérieur des coudes ou derrière les genoux), une peau généralement sèche, une histoire d'asthme ou de rhume des foins, une apparition des symptômes avant l'âge de 2 ans, une histoire d'irritation cutanée dans les mêmes zones mentionnées ci-dessus. <|eos|> <|eod|>",15
